Port_IDs,ROI,PnL,Sharpe_Ratio,Win_Rate,Win_Positions,Total_Positions
3925368433214965504,6789.43673863,6789.43673863,177.80950956749444,0.3333333333333333,486,1458
4002413037164645377,3686.9697606,3686.9697606,153.623740025,0.1857638888888889,107,576
3923766029921022977,772.72903189,772.72903189,21.777818008437464,0.2851469420174742,359,1259
3994879592543698688,3658.7650624,3658.7650624,143.17854103290298,0.552833078101072,361,653
3926423286576838657,1309.45995959,1309.45995959,59.89330446735893,0.3410041841004184,163,478
3987739404272887297,12464.6063154,12464.6063154,160.2510481898183,0.22826446280991736,1381,6050
4030395639953224449,4413.76154738,4413.76154738,198.98773809676425,0.17479674796747968,86,492
3953433416230728705,4924.76177998,4924.76177998,214.5259925934401,0.20872865275142316,110,527
3919174299855478272,1456.3718076199998,1456.3718076199998,40.91513192627963,0.48066298342541436,609,1267
4029749871687083265,3662.13654822,3662.13654822,125.16925036029345,0.4287383177570093,367,856
4013978721149559808,3778.87822398,3778.87822398,220.38865354442194,0.20748299319727892,61,294
3878631538480067329,3921.23304116,3921.23304116,73.95920439198619,0.5033795802205621,1415,2811
3996598927198996481,3509.04461888,3509.04461888,68.02467150116416,0.368282600526118,980,2661
4017323550554338817,3134.7351025,3134.7351025,134.27729874908073,0.5009174311926605,273,545
3988205565930333696,3283.93800993,3283.93800993,170.49356647016626,0.38005390835579517,141,371
3978449781300392193,5888.6560088,5888.6560088,210.30914317142856,0.4387755102040816,344,784
4031181049693676544,4545.2423384,4545.2423384,261.5493059691171,0.24172185430463577,73,302
4011626972687000576,5483.14982082,5483.14982082,70.45911426460157,0.38408190224570676,2326,6056
4023697881318718465,3151.95061998,3151.95061998,376.7301556209375,0.08571428571428572,6,70
4041804592937345281,-776.3429996899999,-776.3429996899999,-40.46967642191803,0.23097826086956522,85,368
4031173908980084736,5360.42572991,5360.42572991,357.36171532733334,0.37777777777777777,85,225
3891020560590657281,2856.30056379,2856.30056379,136.63538571182906,0.6475972540045767,283,437
3956076827719377409,16790.01223802,16790.01223802,268.3055591536317,0.5155771195097038,2019,3916
4021669203289716224,26427.33159178,26427.33159178,644.3774268004522,0.31391200951248516,528,1682
3944239644144231424,-1187.89097568,-1187.89097568,-40.55392924582078,0.26456876456876455,227,858
3998572645139652353,9603.58535988,9603.58535988,588.8335984244311,0.35714285714285715,95,266
4031451549482615297,3124.54121527,3124.54121527,292.6400969924105,0.38596491228070173,44,114
4033639786957934336,2848.14185731,2848.14185731,233.32887236747385,0.16778523489932887,25,149
4029422834086627072,2799.90254984,2799.90254984,277.23166302982014,0.37254901960784315,38,102
3914654298562589441,343.47044905,343.47044905,15.628446576106422,0.4140786749482402,200,483
4030565764341697025,2789.87828996,2789.87828996,272.2642426689493,0.4857142857142857,51,105
4034786679304751616,2521.07586938,2521.07586938,140.71273336392852,0.38317757009345793,123,321
4029299190618134272,3354.14587637,3354.14587637,221.16582957993776,0.3130434782608696,72,230
4030555430101054209,3358.38032001,3358.38032001,305.3073018190909,0.2644628099173554,32,121
4031414524297538817,2726.79561774,2726.79561774,174.56520155506166,0.36885245901639346,90,244
3986814617275053313,16337.46188064,16337.46188064,274.04751954005457,0.7822172200337648,2780,3554
4019895412775450368,2640.30025492,2640.30025492,110.49312676146296,0.4238178633975482,242,571
4026179081117855488,6796.18836,6796.18836,484.2083718121697,0.233502538071066,46,197
4036548677626662656,3296.87667987,3296.87667987,271.9218055154206,0.46258503401360546,68,147
4017110277719148289,2899.93302141,2899.93302141,182.6786093665478,0.5674603174603174,143,252
4035430878731345664,2493.75041995,2493.75041995,264.337015841197,0.48314606741573035,43,89
3983074113875692800,2424.82951996,2424.82951996,369.7830350941961,0.32558139534883723,14,43
3981810242465907713,2836.47282999,2836.47282999,276.81140417037733,0.11428571428571428,12,105
3788465932399412480,13960.96645667,13960.96645667,252.0095735406955,0.44607363962202673,1369,3069
4023697433751327232,2408.22399998,2408.22399998,371.59703065602275,0.09523809523809523,4,42
4029506971304830209,2413.6540000200002,2413.6540000200002,334.71358685772583,0.057692307692307696,3,52
3977234346014419201,2427.29283086,2427.29283086,266.4300013576285,0.39759036144578314,33,83
3995532094997544704,-12346.682218599999,-12346.682218599999,-158.72184161492817,0.21401421252685507,1295,6051
4037785885739608577,1934.57923526,1934.57923526,121.38629716636262,0.23228346456692914,59,254
3957509601040585217,3174.18036672,3174.18036672,95.1445724568042,0.2695417789757412,300,1113
4028427053699127040,2633.02381341,2633.02381341,239.3658012190909,0.2975206611570248,36,121
4037121179310444801,7237.92173826,7237.92173826,181.23143915631402,0.48401253918495296,772,1595
3941019213896463617,4234.08779003,4234.08779003,400.0836900583731,0.49107142857142855,55,112
4041860229502600193,2327.33599982,2327.33599982,236.30516823946542,0.3917525773195876,38,97
3988071780777702657,3424.4699222,3424.4699222,70.12117169840668,0.3731656184486373,890,2385
4034359562055356161,5284.65441593,5284.65441593,186.95763374567053,0.48936170212765956,391,799
3939925275039085824,2378.8786707,2378.8786707,30.89713389480534,0.3623481781376518,2148,5928
4031493134338259457,9082.69828786,9082.69828786,208.9772014336852,0.36156696664902066,683,1889
3977116548751698176,603.9805007599999,603.9805007599999,14.987524477444817,0.28078817733990147,456,1624
4008537296438699777,2330.8456453100002,2330.8456453100002,100.77124480687107,0.4654205607476635,249,535
3936410995029308417,10681.514000000001,10681.514000000001,2388.459140661569,0.3,6,20
4033614723417828608,4602.23981649,4602.23981649,202.60231087782464,0.22286821705426357,115,516
4037282461943784704,4760.3656195,4760.3656195,212.04353790412958,0.2698412698412698,136,504
